####### BEGIN TOOL bininfo vs18 x64 avx2 [2026-09-10_09-16-45] #######
************************************
ext:      [exe,dll,so]
checkavx: ON
recurse:  ON
>>>>>> D:/github/NONO_subversion <<<<<<
filename                                  date              x   link  set           cl     pver      pdb ©   product                                 description
/vs18/x64-avx2/compat-test.exe              07:47 08/07/2026  64  ltcg  avx (22)      14.51  1.16.0    OK  OK  compat-test                             arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/compress-test.exe            07:47 08/07/2026  64  ltcg  avx (17)      14.51  1.16.0    OK  OK  compress-test                           arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/config-test.exe              07:47 08/07/2026  64  ltcg  avx (5)       14.51  1.16.0    OK  OK  config-test                             arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/conflict-data-test.exe       07:47 08/07/2026  64  ltcg  avx (16)      14.51  1.16.0    OK  OK  conflict-data-test                      arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/conflicts-test.exe           07:47 08/07/2026  64  ltcg  avx (152)     14.51  1.16.0    OK  OK  conflicts-test                          arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/crypto-test.exe              07:47 08/07/2026  64  ltcg  avx (5)       14.51  1.16.0    OK  OK  crypto-test                             arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/db-test.exe                  07:47 08/07/2026  64  ltcg  avx (7)       14.51  1.16.0    OK  OK  db-test                                 arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/deps/libapr-1.dll            05:31 10/09/2026  64  ltcg  avx (688)     14.51  1.7.7     OK  OK  libapr-1                                arch:x64-avx2 vcver:14.51[vs18] branch:1.7.x commit:6607b119c date:2026-08-03
/vs18/x64-avx2/deps/libaprutil-1.dll        05:31 10/09/2026  64  ltcg  avx (1123)    14.51  1.7.0     OK  OK  libaprutil-1                            arch:x64-avx2 vcver:14.51[vs18] branch:1.7.x commit:78161521 date:2026-08-25
/vs18/x64-avx2/deps/libcrypto-3-x64.dll     05:29 10/09/2026  64  ltcg  avx (96070)   14.51  3.6.4     OK  OK  libcrypto-3-x64                         arch:x64-avx2 vcver:14.51[vs18] tag:3.6.4 date:2026-08-25
/vs18/x64-avx2/deps/libexpat.dll            05:27 10/09/2026  64  ltcg  avx (151)     14.51  2.8.4     OK  OK  libexpat                                arch:x64-avx2 vcver:14.51[vs18] tag:2.8.4 date:2026-08-31
/vs18/x64-avx2/deps/libiconv.dll            05:31 10/09/2026  64  ltcg  avx (35)      14.51  1.19      OK  OK  libiconv                                arch:x64-avx2 vcver:14.51[vs18] tag:1.19 date:2026-04-21
/vs18/x64-avx2/deps/libserf-2.dll           05:32 10/09/2026  64  ltcg  avx (450)     14.51  2.0.0     OK  OK  libserf-2                               arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:1a26bcb date:2026-07-02
/vs18/x64-avx2/deps/libsqlite3.dll          05:31 10/09/2026  64  ltcg  avx (8561)    14.51  3.53.4    OK  OK  libsqlite3                              arch:x64-avx2 vcver:14.51[vs18] tag:3.53.4 date:2026-07-25
/vs18/x64-avx2/deps/libssl-3-x64.dll        05:30 10/09/2026  64  ltcg  avx (1675)    14.51  3.6.4     OK  OK  libssl-3-x64                            arch:x64-avx2 vcver:14.51[vs18] tag:3.6.4 date:2026-08-25
/vs18/x64-avx2/deps/z.dll                   05:27 10/09/2026  64  ltcg  avx (35)      14.51  1.3.2     OK  OK  z                                       arch:x64-avx2 vcver:14.51[vs18] tag:1.3.2 date:2026-02-17
/vs18/x64-avx2/diff-diff3-test.exe          07:47 08/07/2026  64  ltcg  avx (44)      14.51  1.16.0    OK  OK  diff-diff3-test                         arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/dirent_uri-test.exe          07:47 08/07/2026  64  ltcg  avx (43)      14.51  1.16.0    OK  OK  dirent_uri-test                         arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/dump-load-test.exe           07:47 08/07/2026  64  ltcg  avx (8)       14.51  1.16.0    OK  OK  dump-load-test                          arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/entries-compat-test.exe      07:47 08/07/2026  64  ltcg  avx (5)       14.51  1.16.0    OK  OK  entries-compat-test                     arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/entries-dump.exe             07:47 08/07/2026  64  ltcg                14.51  1.16.0    OK  OK  entries-dump                            arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/error-code-test.exe          07:47 08/07/2026  64  ltcg  avx (5)       14.51  1.16.0    OK  OK  error-code-test                         arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/error-test.exe               07:47 08/07/2026  64  ltcg  avx (5)       14.51  1.16.0    OK  OK  error-test                              arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/filesize-test.exe            07:47 08/07/2026  64  ltcg  avx (41)      14.51  1.16.0    OK  OK  filesize-test                           arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/fs-fs-fuzzy-test.exe         07:47 08/07/2026  64  ltcg  avx (5)       14.51  1.16.0    OK  OK  fs-fs-fuzzy-test                        arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/fs-fs-pack-test.exe          07:47 08/07/2026  64  ltcg  avx (27)      14.51  1.16.0    OK  OK  fs-fs-pack-test                         arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/fs-fs-private-test.exe       07:47 08/07/2026  64  ltcg  avx (32)      14.51  1.16.0    OK  OK  fs-fs-private-test                      arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/fs-sequential-test.exe       07:47 08/07/2026  64  ltcg  avx (5)       14.51  1.16.0    OK  OK  fs-sequential-test                      arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/fs-test.exe                  07:47 08/07/2026  64  ltcg  avx (196)     14.51  1.16.0    OK  OK  fs-test                                 arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/fs-x-pack-test.exe           07:47 08/07/2026  64  ltcg  avx (8)       14.51  1.16.0    OK  OK  fs-x-pack-test                          arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/hashdump-test.exe            07:47 08/07/2026  64  ltcg  avx (5)       14.51  1.16.0    OK  OK  hashdump-test                           arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/io-test.exe                  07:47 08/07/2026  64  ltcg  avx (7)       14.51  1.16.0    OK  OK  io-test                                 arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/libsvn_client-1.dll          09:11 10/09/2026  64  ltcg  avx (983)     14.51  1.15.0.4  OK  OK  libsvn_client-1                         arch:x64-avx2 vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx2/libsvn_delta-1.dll           09:11 10/09/2026  64  ltcg  avx (99)      14.51  1.15.0.4  OK  OK  libsvn_delta-1                          arch:x64-avx2 vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx2/libsvn_diff-1.dll            09:11 10/09/2026  64  ltcg  avx (160)     14.51  1.15.0.4  OK  OK  libsvn_diff-1                           arch:x64-avx2 vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx2/libsvn_fs-1.dll              09:11 10/09/2026  64  ltcg  avx (34)      14.51  1.15.0.4  OK  OK  libsvn_fs-1                             arch:x64-avx2 vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx2/libsvn_fs_fs-1.dll           09:11 10/09/2026  64  ltcg  avx (819)     14.51  1.15.0.4  OK  OK  libsvn_fs_fs-1                          arch:x64-avx2 vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx2/libsvn_fs_util-1.dll         09:11 10/09/2026  64  ltcg  avx (8)       14.51  1.15.0.4  OK  OK  libsvn_fs_util-1                        arch:x64-avx2 vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx2/libsvn_fs_x-1.dll            09:11 10/09/2026  64  ltcg  avx (1079)    14.51  1.15.0.4  OK  OK  libsvn_fs_x-1                           arch:x64-avx2 vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx2/libsvn_ra-1.dll              09:11 10/09/2026  64  ltcg  avx (46)      14.51  1.15.0.4  OK  OK  libsvn_ra-1                             arch:x64-avx2 vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx2/libsvn_ra_local-1.dll        09:11 10/09/2026  64  ltcg  avx (29)      14.51  1.15.0.4  OK  OK  libsvn_ra_local-1                       arch:x64-avx2 vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx2/libsvn_ra_serf-1.dll         09:11 10/09/2026  64  ltcg  avx (658)     14.51  1.15.0.4  OK  OK  libsvn_ra_serf-1                        arch:x64-avx2 vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx2/libsvn_ra_svn-1.dll          09:11 10/09/2026  64  ltcg  avx (234)     14.51  1.15.0.4  OK  OK  libsvn_ra_svn-1                         arch:x64-avx2 vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx2/libsvn_repos-1.dll           09:11 10/09/2026  64  ltcg  avx (498)     14.51  1.15.0.4  OK  OK  libsvn_repos-1                          arch:x64-avx2 vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx2/libsvn_subr-1.dll            09:11 10/09/2026  64  ltcg  avx (2198)    14.51  1.15.0.4  OK  OK  libsvn_subr-1                           arch:x64-avx2 vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx2/libsvn_wc-1.dll              09:11 10/09/2026  64  ltcg  avx (967)     14.51  1.15.0.4  OK  OK  libsvn_wc-1                             arch:x64-avx2 vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx2/libsvnjavahl-1.dll           09:11 10/09/2026  64  ltcg  avx (540)     14.51  1.15.0.4  OK  OK  libsvnjavahl-1                          arch:x64-avx2 vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx2/lock-helper.exe              07:47 08/07/2026  64  ltcg                14.51  1.16.0    OK  OK  lock-helper                             arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/locks-test.exe               07:47 08/07/2026  64  ltcg  avx (7)       14.51  1.16.0    OK  OK  locks-test                              arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/mergeinfo-test.exe           07:47 08/07/2026  64  ltcg  avx (765)     14.51  1.16.0    OK  OK  mergeinfo-test                          arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/mod_authz_svn.so             09:11 10/09/2026  64  ltcg  avx (5)       14.51  1.15.0.4  OK  OK  mod_authz_svn                           arch:x64-avx2 vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx2/mod_dav_svn.so               09:11 10/09/2026  64  ltcg  avx (152)     14.51  1.15.0.4  OK  OK  mod_dav_svn                             arch:x64-avx2 vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx2/mod_dontdothat.so            09:11 10/09/2026  64  ltcg  avx (7)       14.51  1.15.0.4  OK  OK  mod_dontdothat                          arch:x64-avx2 vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx2/mtcc-test.exe                07:47 08/07/2026  64  ltcg  avx (7)       14.51  1.16.0    OK  OK  mtcc-test                               arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/op-depth-test.exe            07:47 08/07/2026  64  ltcg  avx (4745)    14.51  1.16.0    OK  OK  op-depth-test                           arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/opt-test.exe                 07:47 08/07/2026  64  ltcg  avx (11)      14.51  1.16.0    OK  OK  opt-test                                arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/packed-data-test.exe         07:47 08/07/2026  64  ltcg  avx (10)      14.51  1.16.0    OK  OK  packed-data-test                        arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/parse-diff-test.exe          07:47 08/07/2026  64  ltcg  avx (5)       14.51  1.16.0    OK  OK  parse-diff-test                         arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/path-test.exe                07:47 08/07/2026  64  ltcg  avx (13)      14.51  1.16.0    OK  OK  path-test                               arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/prefix-string-test.exe       07:47 08/07/2026  64  ltcg  avx (5)       14.51  1.16.0    OK  OK  prefix-string-test                      arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/priority-queue-test.exe      07:47 08/07/2026  64  ltcg  avx (15)      14.51  1.16.0    OK  OK  priority-queue-test                     arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
